mass_A
t	x	y
0.0	-53.053296851804646	7.414601382212538
0.04	-53.053296851804646	7.414601382212503
0.08000000000000182	-52.8341934451105	7.389343991246179
0.12	-52.604633510987554	7.341775640783226
0.1600000000000018	-52.34850508096821	7.3103219887219595
0.2	-52.10092249108629	7.260729943804677
0.24000000000000182	-51.83742803735147	7.213595088493939
0.28	-51.56948723178188	7.159923895518084
0.32000000000000184	-51.27630316848945	7.124638956477256
0.36	-50.982769357166816	7.059685704885652
0.4000000000000018	-50.677606670004906	7.027383733062344
0.44	-50.3736858083058	6.961861765688738
0.4800000000000018	-50.03892440135773	6.920789643263554
0.52	-49.70937382660284	6.864565174569655
0.5600000000000018	-49.38017882362843	6.820487044494868
0.6	-49.06085418884469	6.7597809050777755
0.6400000000000018	-48.7037043884945	6.6880697462308305
0.68	-48.318530392324405	6.654736812526487
0.7200000000000019	-47.944487600976714	6.582236112540507
0.76	-47.568747885667264	6.4997443779127195
0.8	-47.157160954107795	6.459987314868364
0.84	-46.7547916678256	6.391465061844649
0.88	-46.352341994075346	6.31788473380869
0.92	-45.92648794332762	6.245780513411546
0.96	-45.47669504109191	6.183838657777073
1.0	-45.03899549968423	6.109322247763629
1.04	-44.59678097951962	6.029454620910478
1.0800000000000018	-44.14037387882426	5.970565238018864
1.12	-43.671195098542086	5.915771813133361
1.160000000000002	-43.194580592043756	5.832836947051838
1.2	-42.7026350169002	5.752897899375519
1.2400000000000018	-42.18478161688238	5.693682513994169
1.28	-41.69136278508984	5.636643770247588
1.3200000000000018	-41.1821829318706	5.554069577781533
1.36	-40.67306683582277	5.471241439959151
1.400000000000002	-40.14239066823893	5.3946226319758495
1.44	-39.59485802806713	5.320670236959991
1.4800000000000018	-39.07416257976783	5.265299140679652
1.52	-38.5353589594463	5.198485603255293
1.5600000000000018	-37.98615872942179	5.122537675012239
1.6	-37.37714743855132	5.0307095348032504
1.640000000000002	-36.81028598125528	4.953298061950015
1.68	-36.21984693974771	4.8930223027009845
1.7200000000000017	-35.638631025460306	4.820697448047291
1.76	-35.03886785263179	4.739368616558721
1.8000000000000018	-34.44506888086181	4.661095024148814
1.84	-33.799756113345325	4.596171603298799
1.88	-33.163350567844205	4.532433934068592
1.92	-32.525834543250056	4.455976178669573
1.96	-31.88501867559222	4.374722011863469
2.0	-31.249574461184306	4.315546288797364
2.04	-30.601429652649447	4.261950457342991
2.080000000000002	-29.948185259865628	4.192553571691256
2.12	-29.29180306299889	4.140442771093419
2.160000000000002	-28.62662249119829	4.085002162168429
2.2	-27.941965771786002	4.007321576153764
2.240000000000002	-27.25023192490781	3.954317853365687
2.28	-26.56331234016499	3.9045341277833643
2.3200000000000016	-25.868566188597782	3.842183818072286
2.36	-25.18100017624281	3.8130704382676726
2.4000000000000017	-24.478623852479046	3.7369157391935133
2.44	-23.754697196508346	3.6758706517896016
2.4800000000000018	-23.07389800980583	3.638309280657168
2.52	-22.351046463972637	3.5911411632433
2.560000000000002	-21.637723938475602	3.5439915397756465
2.6	-20.916426846469115	3.485596910715131
2.640000000000002	-20.246876769199254	3.4657397768860037
2.68	-19.519818116728203	3.416554097041761
2.720000000000002	-18.719100944271965	3.384883464255374
2.76	-18.014639678563476	3.327930249981648
2.8000000000000016	-17.2682448593104	3.2757991101049555
2.84	-16.557232370602563	3.2386371792927093
2.8800000000000017	-15.770069756322187	3.200810943366477
2.92	-15.01103415623043	3.149923065571997
2.96	-14.264932501727095	3.130355234982872
3.0	-13.539970574320499	3.099154890483881
3.04	-12.76523945199851	3.0689448001381194
3.08	-12.020689602314718	3.0538251225544286
3.120000000000002	-11.248276266002634	3.0273863041885107
3.160000000000002	-10.498792130085818	3.0034860321740524
3.2	-9.73487872700803	2.973944659971309
3.24	-8.965918921353122	2.965338778768057
3.280000000000002	-8.192656793809903	2.920174848674769
3.3200000000000016	-7.412004720277238	2.9026473236833894
3.36	-6.652948304650117	2.903850886100301
3.4	-5.900100739032126	2.8968361639713294
3.4400000000000035	-5.115406487030064	2.8838568118028647
3.48	-4.320764804563922	2.8777371412400186
3.52	-3.567755194241343	2.850509611029402
